year,Type of contaminant,Public electricity generation,Road transport,Navigation,Civil aviation,Other combustion (1),Non-combustion (2),Total emissions (without hill fires),Hill fires,Total emissions (with hill fires)
2001,Sulphur Dioxide (SO2),59220,2100,28280,300,2710,-,92610,30,92650
2001,Nitrogen Oxides (NOx),38320,39800,31460,3670,11820,-,125070,170,125250
2001,Respirable Suspended Particulates (PM10),1630,2700,2560,40,1100,1140,9200,2000,11200
2001,Fine Suspended Particulates (PM2.5),700,2400,2380,40,1010,590,7150,1640,8780
2001,Volatile Organic Compounds (VOC),330,8400,9060,330,1230,36250,55600,460,56060
2001,Carbon Monoxide (CO),2820,55000,33690,1880,5150,-,98530,4980,103510
2002,Sulphur Dioxide (SO2),60130,1000,24720,310,2650,-,88820,40,88860
2002,Nitrogen Oxides (NOx),40000,38500,30860,3840,10300,-,123490,190,123680
2002,Respirable Suspended Particulates (PM10),1810,2500,2420,40,1070,1080,8880,2170,11050
2002,Fine Suspended Particulates (PM2.5),780,2300,2260,40,980,550,6870,1780,8640
2002,Volatile Organic Compounds (VOC),340,8100,8060,340,1150,33180,51120,500,51620
2002,Carbon Monoxide (CO),2750,55300,29270,1890,3580,-,92800,5410,98210
2003,Sulphur Dioxide (SO2),83880,1000,19560,260,2720,-,107440,60,107500
2003,Nitrogen Oxides (NOx),54810,37200,31070,3230,10230,-,136530,310,136850
2003,Respirable Suspended Particulates (PM10),2280,2300,2230,40,1070,1050,8920,3920,12840
2003,Fine Suspended Particulates (PM2.5),980,2200,2070,40,980,510,6730,3210,9930
2003,Volatile Organic Compounds (VOC),380,7700,5900,300,1130,33020,48420,830,49240
2003,Carbon Monoxide (CO),3070,55600,19130,1690,3600,-,83090,8960,92050
2004,Sulphur Dioxide (SO2),87520,1000,19570,330,2660,-,111120,80,111190
2004,Nitrogen Oxides (NOx),44950,36500,32620,3890,9960,-,127920,380,128300
2004,Respirable Suspended Particulates (PM10),2760,2100,2310,40,1040,1070,9290,4780,14070
2004,Fine Suspended Particulates (PM2.5),1190,1900,2150,40,960,510,6750,3910,10660
2004,Volatile Organic Compounds (VOC),380,7600,5720,380,1090,33750,48870,1010,49880
2004,Carbon Monoxide (CO),3110,56800,17900,2220,3570,-,83600,10940,94540
2005,Sulphur Dioxide (SO2),77060,940,18820,340,2590,-,99750,20,99780
2005,Nitrogen Oxides (NOx),46430,35800,31660,3870,9410,-,127170,120,127290
2005,Respirable Suspended Particulates (PM10),2320,1900,2280,50,980,1050,8550,1530,10080
2005,Fine Suspended Particulates (PM2.5),1040,1700,2120,50,900,490,6250,1260,7510
2005,Volatile Organic Compounds (VOC),410,7400,5770,400,990,30780,45760,330,46090
2005,Carbon Monoxide (CO),3320,58000,17000,2370,3370,-,84060,3550,87610
2006,Sulphur Dioxide (SO2),66030,930,19470,350,2450,-,89230,30,89260
2006,Nitrogen Oxides (NOx),41770,35600,32260,3960,10460,-,124030,130,124160
2006,Respirable Suspended Particulates (PM10),1860,1700,2340,50,970,990,7920,1640,9560
2006,Fine Suspended Particulates (PM2.5),840,1500,2180,50,880,480,5970,1340,7310
2006,Volatile Organic Compounds (VOC),420,7200,5940,420,990,29090,44070,350,44430
2006,Carbon Monoxide (CO),3370,58700,17590,2470,5100,-,87180,3840,91020
2007,Sulphur Dioxide (SO2),60370,470,17600,390,2380,-,81210,20,81230
2007,Nitrogen Oxides (NOx),44850,35400,32360,4610,9590,-,126760,100,126860
2007,Respirable Suspended Particulates (PM10),1600,1500,2230,50,910,960,7280,1210,8490
2007,Fine Suspended Particulates (PM2.5),720,1400,2060,50,840,470,5530,990,6520
2007,Volatile Organic Compounds (VOC),440,7100,4910,430,1000,28200,42030,260,42300
2007,Carbon Monoxide (CO),3540,59300,14750,2580,4950,-,85120,2860,87980
2008,Sulphur Dioxide (SO2),50580,240,18210,390,1670,-,71090,40,71130
2008,Nitrogen Oxides (NOx),38530,35100,31980,4640,9590,-,119860,200,120070
2008,Respirable Suspended Particulates (PM10),1480,1400,2220,50,880,1000,6990,2430,9420
2008,Fine Suspended Particulates (PM2.5),680,1200,2080,50,800,480,5330,1990,7320
2008,Volatile Organic Compounds (VOC),420,6900,4730,430,1000,27330,40780,530,41310
2008,Carbon Monoxide (CO),3420,60000,14560,2610,5390,-,85930,5750,91680
2009,Sulphur Dioxide (SO2),46310,80,17840,360,340,-,64940,20,64960
2009,Nitrogen Oxides (NOx),38100,34900,31030,4550,8280,-,116870,110,116980
2009,Respirable Suspended Particulates (PM10),1530,1200,2160,50,770,910,6620,1340,7960
2009,Fine Suspended Particulates (PM2.5),700,1100,2000,50,700,460,5010,1100,6110
2009,Volatile Organic Compounds (VOC),430,6700,5860,420,890,21300,35600,290,35890
2009,Carbon Monoxide (CO),3520,60600,17380,2400,4780,-,88670,3190,91850
2010,Sulphur Dioxide (SO2),17770,50,17810,380,260,-,36280,10,36290
2010,Nitrogen Oxides (NOx),27040,34200,34210,4710,8840,-,109000,60,109050
2010,Respirable Suspended Particulates (PM10),1010,1200,2300,50,820,910,6290,710,6990
2010,Fine Suspended Particulates (PM2.5),490,1100,2120,50,750,470,4980,580,5560
2010,Volatile Organic Compounds (VOC),410,6500,4660,450,950,18950,31920,160,32080
2010,Carbon Monoxide (CO),3310,59600,14000,2650,5500,-,85070,1690,86750
2011,Sulphur Dioxide (SO2),14010,50,18530,410,190,-,33190,30,33220
2011,Nitrogen Oxides (NOx),30010,33200,37980,5000,8860,-,115050,140,115190
2011,Respirable Suspended Particulates (PM10),1000,950,2430,60,830,950,6210,1730,7950
2011,Fine Suspended Particulates (PM2.5),470,870,2250,60,790,480,4920,1420,6340
2011,Volatile Organic Compounds (VOC),450,6400,4790,460,940,18880,31920,380,32300
2011,Carbon Monoxide (CO),3720,62000,15590,2800,4840,-,88950,4140,93100
2012,Sulphur Dioxide (SO2),15490,50,18730,420,220,-,34900,10,34910
2012,Nitrogen Oxides (NOx),32020,31200,35710,5160,9300,-,113390,50,113440
2012,Respirable Suspended Particulates (PM10),960,890,2360,60,840,940,6050,610,6660
2012,Fine Suspended Particulates (PM2.5),460,820,2190,60,790,480,4790,500,5290
2012,Volatile Organic Compounds (VOC),440,6400,5040,470,950,17350,30640,140,30780
2012,Carbon Monoxide (CO),3890,62500,17130,2860,5640,-,92030,1470,93490
2013,Sulphur Dioxide (SO2),14680,50,19020,440,310,-,34500,20,34530
2013,Nitrogen Oxides (NOx),34580,26800,34310,5480,10810,-,111980,110,112080
2013,Respirable Suspended Particulates (PM10),940,890,2310,60,960,950,6100,1300,7410
2013,Fine Suspended Particulates (PM2.5),440,820,2140,60,890,480,4840,1070,5900
2013,Volatile Organic Compounds (VOC),460,5700,6080,470,1100,17110,30930,280,31210
2013,Carbon Monoxide (CO),3930,43900,20580,2990,6210,-,77610,3070,80690
2014,Sulphur Dioxide (SO2),16880,40,15580,460,230,-,33180,0,33190
2014,Nitrogen Oxides (NOx),36210,22500,34960,5820,10190,-,109690,20,109710
2014,Respirable Suspended Particulates (PM10),980,730,2150,60,900,910,5730,280,6010
2014,Fine Suspended Particulates (PM2.5),460,670,1980,60,850,470,4480,230,4710
2014,Volatile Organic Compounds (VOC),470,5200,6010,490,1060,15470,28700,60,28760
2014,Carbon Monoxide (CO),3960,35200,19630,3220,5770,-,67770,660,68430
2015,Sulphur Dioxide (SO2),7280,40,12520,470,230,-,20540,10,20550
2015,Nitrogen Oxides (NOx),26090,20100,33240,5710,9460,-,94590,60,94650
2015,Respirable Suspended Particulates (PM10),580,520,1910,60,800,920,4790,740,5520
2015,Fine Suspended Particulates (PM2.5),300,480,1760,60,760,480,3830,600,4440
2015,Volatile Organic Compounds (VOC),420,5000,5100,480,990,15340,27330,160,27490
2015,Carbon Monoxide (CO),3580,30900,18680,3220,6070,-,62460,1720,64180
2016,Sulphur Dioxide (SO2),8020,40,8970,480,170,-,17680,10,17680
